program_id,university_name,university_type,partnership_status,partner_name,country,city,world_ranking,program_name,field_of_study,specialization,course_duration_months,min_gpa,min_percentage,last_education_required,work_experience_required,min_work_experience_years,specific_background_required,english_test_required,ielts_overall,toefl_overall,pte_overall,duolingo_overall,moi_accepted,gre_required,gmat_required,tuition_fee_usd,tuition_fee_eur,application_fee_eur,scholarships_available,scholarship_details,scholarship_amount_max,living_cost_estimate_eur,intake_spring,intake_summer,intake_fall,intake_winter,fall_deadline,visa_success_rate,job_placement_rate,post_study_work_visa,university_website,program_website,,,,
PROG001,American Business School Paris,Private,Partnered,Edugo,France,Paris,801,MBA (American MBA),Business Administration,General Management,12,3.0,70,Bachelor's,Yes,2,Business or related field,Yes,6.5,80,58,110,Yes,No,No,16500,15250,60,Yes,Merit-Based & Early Bird Scholarship,up to 3000,12000,Yes,Yes,Yes,No,06/30,90,87,2 years,https://www.absparis.com/,https://www.absparis.com/programs/american-mba/,,,,
PROG002,American Business School Paris,Private,Partnered,Edugo,France,Paris,801,BBA (Bachelor in Business Administration),Business Administration,Fashion Marketing; Luxury; International Business; Entrepreneurship,48,2.8,65,High School Diploma,No,0,None,Yes,6.0,72,50,100,Yes,No,No,12500,11500,60,Yes,Merit & Early Application Scholarship,up to 2500,12000,Yes,Yes,Yes,No,06/30,90,87,2 years,https://www.absparis.com/,https://www.absparis.com/programs/american-bba/,,,,
PROG003,American Business School Paris,Private,Partnered,Edugo,France,Paris,801,MSc Digital Marketing & Business,Marketing,Digital Marketing & E-Business,15,3.0,70,Bachelor's,No,0,Any field (business preferred),Yes,6.5,80,58,110,Yes,No,No,13500,12500,60,Yes,Merit-Based Scholarship,up to 2500,12000,No,No,Yes,No,06/30,90,87,2 years,https://www.absparis.com/,https://www.absparis.com/programs/msc-digital-marketing-business/,,,,
PROG004,Pôle Léonard de Vinci,Private,Partnered,Edugo,France,Paris La Défense,251,MSc International Business,Business Administration,International Business,12,3.0,70,Bachelor's,No,0,Any academic background,Yes,6.5,90,58,110,Yes,No,No,14900,13800,75,Yes,Early Bird (up to 20%) + Excellence Scholarship,up to 3000,12000,No,No,Yes,No,06/30,92,90,2 years,https://www.devinci.fr/en/,https://www.emlv.fr/en/programmes/msc-international-business/,,,,
PROG005,Pôle Léonard de Vinci,Private,Partnered,Edugo,France,Paris La Défense,251,MSc Digital Business Analytics,Business & Data Analytics,Data Analytics & Digital Transformation,12,3.0,70,Bachelor's,No,0,Business; Engineering or IT preferred,Yes,6.5,90,58,110,Yes,No,No,14900,13800,75,Yes,Early Bird + Merit Scholarship,up to 3000,12000,No,No,Yes,No,06/30,92,90,2 years,https://www.devinci.fr/en/,https://www.emlv.fr/en/programmes/msc-digital-business-analytics/,,,,
PROG006,Pôle Léonard de Vinci,Private,Partnered,Edugo,France,Paris La Défense,251,MSc Innovation & Creative Technology,Engineering & Design,Innovation Management & Design Thinking,12,3.0,70,Bachelor's,No,0,Engineering; Design or Business,Yes,6.5,90,58,110,Yes,No,No,14900,13800,75,Yes,Early Bird + Excellence Scholarship,up to 3000,12000,No,No,Yes,No,06/30,92,90,2 years,https://www.esilv.fr/en/,https://www.esilv.fr/en/programmes/msc-innovation-creative-technology/,,,,
PROG007,Paris School of Business,Private,Partnered,Edugo,France,Paris,251,MSc in International Management & Business Development,Business Administration,International Management & Business Development,15,3.0,70,Bachelor's,No,0,Any field,Yes,6.5,80,58,105,Yes,No,No,17100,15800,90,Yes,Merit-based Scholarship,2000,12000,Yes,No,Yes,No,06/30,90,85,2 years,https://www.psbedu.paris/en,https://www.psbedu.paris/en/programs/mba-msc-ma/msc-in-international-management-business-development,,,,
PROG008,Paris School of Business,Private,Partnered,Edugo,France,Paris,251,MSc in Luxury & Fashion Management,Marketing,Luxury & Fashion Management,15,3.0,70,Bachelor's,No,0,Business or related,Yes,6.5,80,58,105,Yes,No,No,17100,15800,90,Yes,Merit-based Scholarship,2000,12000,Yes,No,Yes,No,06/30,90,85,2 years,https://www.psbedu.paris/en,https://www.psbedu.paris/en/programs/mba-msc-ma/msc-in-luxury-fashion-management,,,,
PROG009,Paris School of Business,Private,Partnered,Edugo,France,Paris,251,MSc in Marketing Strategy & Data Intelligence,Marketing,Marketing Strategy & Data Intelligence,15,3.0,70,Bachelor's,No,0,Marketing or related,Yes,6.5,80,58,105,Yes,No,No,21800,20100,90,Yes,Merit-based Scholarship,2000,12000,Yes,No,Yes,No,06/30,90,85,2 years,https://www.psbedu.paris/en,https://www.psbedu.paris/en/programs/mba-msc-ma/msc-in-marketing-strategy-data-intelligence,,,,
PROG010,Paris School of Business,Private,Partnered,Edugo,France,Paris,251,MSc in International Finance,Finance,International Finance,15,3.0,70,Bachelor's,No,0,Finance or related,Yes,6.5,80,58,105,Yes,No,No,17100,15800,90,Yes,Merit-based Scholarship,2000,12000,Yes,No,Yes,No,06/30,90,85,2 years,https://www.psbedu.paris/en,https://www.psbedu.paris/en/programs/mba-msc-ma/msc-in-international-finance,,,,
PROG011,Paris School of Business,Private,Partnered,Edugo,France,Paris,251,International MBA,Business Administration,General Management,12,3.0,70,Bachelor's,Yes,3,Business or related,Yes,6.5,80,58,105,Yes,No,No,20900,19300,90,Yes,Merit-based Scholarship,2000,12000,No,No,Yes,No,06/30,90,85,2 years,https://www.psbedu.paris/en,https://www.psbedu.paris/en/programs/mba-msc-ma/international-mba,,,,
PROG012,NEOMA Business School,Private,Partnered,Edugo,France,Reims,30,Master in Management,Business Administration,General Management with Majors,24,3.0,70,Bachelor's,No,0,Any academic background,Yes,6.5,90,58,110,Yes,No,No,40000,37000,100,Yes,Excellence Scholarship,10500,12000,No,Yes,Yes,No,06/30,92,90,2 years,https://neoma-bs.com,https://neoma-bs.com/programmes/master-management,,,,
PROG013,NEOMA Business School,Private,Partnered,Edugo,France,Reims,30,MSc in International Business,Business Administration,International Business,12,3.0,70,Bachelor's,No,0,Business or related,Yes,6.5,90,58,110,Yes,No,No,17300,16000,100,Yes,Excellence Scholarship,4000,12000,No,No,Yes,No,06/30,92,90,2 years,https://neoma-bs.com,https://neoma-bs.com/programmes/msc-masters-of-science/msc-international-business,,,,
PROG014,NEOMA Business School,Private,Partnered,Edugo,France,Reims,30,MSc in Finance,Finance,Corporate Finance,12,3.0,70,Bachelor's,No,0,Finance or related,Yes,6.5,90,58,110,Yes,No,No,17300,16000,100,Yes,Excellence Scholarship,4000,12000,No,No,Yes,No,06/30,92,90,2 years,https://neoma-bs.com,https://neoma-bs.com/programmes/msc-masters-of-science/msc-finance,,,,
